Entity,Code,Year,Hydro
Austria,AUT,1999,29.334488
Austria,AUT,2000,29.98522
Austria,AUT,2001,27.98391
Austria,AUT,2002,27.588318
Austria,AUT,2003,22.530294
Austria,AUT,2004,23.957449
Austria,AUT,2005,23.493511
Austria,AUT,2006,22.741339
Austria,AUT,2007,23.849094
Austria,AUT,2008,24.23193
Austria,AUT,2009,26.683035
Austria,AUT,2010,24.113424
Austria,AUT,2011,22.774647
Austria,AUT,2012,27.806879
Austria,AUT,2013,26.67498
Austria,AUT,2014,26.957268
Austria,AUT,2015,24.173092
Austria,AUT,2016,25.000542
Austria,AUT,2017,23.361464
Austria,AUT,2018,23.352184
Austria,AUT,2019,24.082695
Austria,AUT,2020,26.464155
Austria,AUT,2021,24.031107
Austria,AUT,2022,22.707575
Austria,AUT,2023,25.772501
Austria,AUT,2024,27.139885
Azerbaijan,AZE,1985,1.5533733
Azerbaijan,AZE,1986,0.8841861
Azerbaijan,AZE,1987,0.91239166
Azerbaijan,AZE,1988,0.7914281
Azerbaijan,AZE,1989,0.7760777
Azerbaijan,AZE,1990,1.7696381
Azerbaijan,AZE,1991,1.9544965
Azerbaijan,AZE,1992,2.2671876
Azerbaijan,AZE,1993,3.6319344
Azerbaijan,AZE,1994,2.9807847
Azerbaijan,AZE,1995,2.6951706
Azerbaijan,AZE,1996,3.2475834
Azerbaijan,AZE,1997,3.778814
Azerbaijan,AZE,1998,4.2910814
Azerbaijan,AZE,1999,3.3179066
Azerbaijan,AZE,2000,3.2334957
Azerbaijan,AZE,2001,2.8298752
Azerbaijan,AZE,2002,4.4186716
Azerbaijan,AZE,2003,4.963229
Azerbaijan,AZE,2004,4.8662996
Azerbaijan,AZE,2005,4.8642797
Azerbaijan,AZE,2006,4.113798
Azerbaijan,AZE,2007,4.172744
Azerbaijan,AZE,2008,3.9057946
Azerbaijan,AZE,2009,4.6685085
Azerbaijan,AZE,2010,7.019822
Azerbaijan,AZE,2011,4.771241
Azerbaijan,AZE,2012,3.13323
Azerbaijan,AZE,2013,2.4737034
Azerbaijan,AZE,2014,2.1061711
Azerbaijan,AZE,2015,2.4164755
Azerbaijan,AZE,2016,2.8982806
Azerbaijan,AZE,2017,2.6197517
Azerbaijan,AZE,2018,2.5008254
Azerbaijan,AZE,2019,2.0867946
Azerbaijan,AZE,2020,1.4295044
Azerbaijan,AZE,2021,1.5943605
Azerbaijan,AZE,2022,1.8668094
Azerbaijan,AZE,2023,1.9808818
Azerbaijan,AZE,2024,3.4226084
Bangladesh,BGD,1971,3.6343348
Bangladesh,BGD,1972,3.2066982
Bangladesh,BGD,1973,4.7342954
Bangladesh,BGD,1974,3.2603962
Bangladesh,BGD,1975,5.698549
Bangladesh,BGD,1976,5.532154
Bangladesh,BGD,1977,4.786648
Bangladesh,BGD,1978,5.218664
Bangladesh,BGD,1979,5.4919906
Bangladesh,BGD,1980,4.674274
